Species_name,Lat,Lon
Anolis punctatus,-14.8167,-39.0333
Anolis punctatus,-15.15,-39.5167
Anolis punctatus,-15.4445,-39.5192
Anolis punctatus,-19.1516,-40.065
Anolis punctatus,-19.4344,-40.0714
Anolis punctatus,-20.2811,-40.5219
Anolis punctatus,-20.9803,-41.7114
Anolis punctatus,-19.6844,-42.5254
Anolis punctatus,-22.4506,-42.6611
Anolis punctatus,-22.9392,-43.2347
Anolis punctatus,-20.3292,-43.3316
Anolis punctatus,-22.4,-43.5833
Anolis punctatus,-23.7839,-46.0033
Bothrops jararaca,-20.3058,-40.3069
Bothrops jararaca,-19.9364,-40.5822
Bothrops jararaca,-20.3664,-40.6681
Bothrops jararaca,-20.0333,-40.7333
Bothrops jararaca,-22.7511,-41.8833
Bothrops jararaca,-21.9581,-42.0272
Bothrops jararaca,-20.3842,-42.1492
Bothrops jararaca,-20.7994,-42.2667
Bothrops jararaca,-20.1672,-42.2678
Bothrops jararaca,-21.55,-42.2844
Bothrops jararaca,-22.035,-42.3636
Bothrops jararaca,-22.2636,-42.5275
Bothrops jararaca,-22.4872,-42.6525
Bothrops jararaca,-22.9164,-42.8181
Bothrops jararaca,-22.0075,-42.9178
Bothrops jararaca,-22.4158,-42.975
Bothrops jararaca,-22.6606,-43.0397
Bothrops jararaca,-22.8353,-43.0728
Bothrops jararaca,-19.8358,-43.1567
Bothrops jararaca,-22.5203,-43.1856
Bothrops jararaca,-22.1158,-43.2081
Bothrops jararaca,-22.1603,-43.2925
Bothrops jararaca,-21.7531,-43.3553
Bothrops jararaca,-19.9728,-43.4108
Bothrops jararaca,-20.8492,-43.4847
Bothrops jararaca,-22.4103,-43.6678
Bothrops jararaca,-22.5528,-43.6828
Bothrops jararaca,-20.7831,-43.6842
Bothrops jararaca,-22.2456,-43.7044
Bothrops jararaca,-22.4711,-43.8253
Bothrops jararaca,-22.1672,-44.4017
Bothrops jararaca,-23.4525,-45.0761
Bothrops jararaca,-22.7994,-45.4508
Bothrops jararaca,-19.2172,-45.9664
Bothrops jararaca,-18.5892,-46.5133
Bothrops jararaca,-23.7125,-46.5442
Bothrops jararaca,-23.1239,-46.5569
Bothrops jararaca,-23.5336,-46.6283
Bothrops jararaca,-22.6653,-46.6842
Bothrops jararaca,-23.4131,-46.7467
Bothrops jararaca,-23.6031,-46.7689
Bothrops jararaca,-23.5197,-46.8033
Bothrops jararaca,-23.1994,-46.8733
Bothrops jararaca,-23.4497,-46.9181
Bothrops jararaca,-22.9742,-46.9911
Bothrops jararaca,-23.6825,-47.0333
Bothrops jararaca,-23.95,-47.0511
Bothrops jararaca,-23.4333,-47.0692
Bothrops jararaca,-23.6506,-47.2183
Bothrops jararaca,-23.7122,-47.4114
Bothrops jararaca,-23.9514,-47.4831
Bothrops jararaca,-23.2119,-47.5206
Bothrops jararaca,-24.1867,-48.5378
