"","cells","pi"
"1","583",0.00227963525835866
"2","1043",0.00143149284253579
"3","1587",0.00152671755725191
"4","3148",0
"5","2982",0
"6","1587",0.00323054331864905
"7","1043",0
"8","1587",0.000978952520802741
"9","2337",0
"10","2337",0.000859106529209622
"11","1087",0
"12","412",0.136812570145903
"13","2610",0
"14","2982",0.00168350168350168
"15","3148",0.00206252713851498
"16","2129",0.00197195442594216
"17","2238",0.000618238021638331
"18","2231",0.00962512664640324
"19","2237",0.00173686495874946
"20","2237",0.0109422492401216
"21","1555",0.00243161094224924
"22","2454",0
"23","996",0.0036051026067665
"24","996",0.00709219858156028
"25","2231",0.00121580547112462
"26","2778",0.00353119971392812
"27","583",0.00911854103343465
"28","1136",0.00558300446433196
"29","1084",0.00101317122593718
"30","1136",0.0060790273556231
"31","527",0.00673665791776028
"32","725",0.00557244174265451
"33","1804",0.00405268490374873
"34","2231",0
"35","527",0
"36","583",0.00320837554880108
"37","1723",0.00507356671740233
"38","1892",0.0010498687664042
"39","1084",0.00709219858156028
"40","1804",0.000759878419452888
"41","1084",0.00307692307692308
"42","1136",0.00516795865633075
"43","1613",0.0134228187919463
"44","1804",0.00229885057471264
"45","527",0.00763512155917219
"46","583",0.00227963525835866
"47","917",0.00332899117093646
"48","527",0.00603674540682415
"49","583",0.00250187640730548
"50","583",0
"51","2341",0.00405268490374873
"52","2231",0.00385366912722536
"53","2227",0.00182370820668693
"54","2231",0.000759878419452888
"55","2778",0
"56","2231",0.00202634245187437
"57","1331",0
"58","583",0.000759878419452888
"59","1500",0.000846023688663283
"60","1500",0.00138600138600139
"61","527",0.00316455696202532
"62","1668",0.0156507413509061
"63","2454",0.00192502532928065
"64","1087",0.000798722044728434
"65","411",0.000613496932515337
"66","2231",0.00119409465914025
"67","2231",0.000379939209726444
"68","2184",0.0053680981595092
"69","2237",0
"70","2337",0.00192122958693564
"71","2337",0.00288600288600289
"72","2610",0.00214822771213749
"73","411",0.0162826420890937
"74","976",0.00101867572156197
"75","2227",0.00202634245187437
"76","2337",0.00709219858156028
"77","2557",0.000759878419452888
"78","2778",0.00405268490374873
"79","2237",0.000993305123467827
"80","2237",0.00115740740740741
"81","2237",0.000713825181910288
"82","2237",0.00202634245187437
"83","2237",0
"84","2237",0.00248344370860927
"85","2237",0
"86","2237",0.000506585612968592
"87","2237",0.000379939209726444
"88","2237",0.00060790273556231
"89","2237",0
"90","2237",0.00091324200913242
"91","2282",0
"92","583",0.00384615384615385
"93","1624",0
"94","2291",0.00261643118785976
"95","2337",0.00288184438040346
"96","519",0.00333333333333333
"97","1587",0
"98","614",0.00303951367781155
"99","832",0
"100","1722",0.00202634245187437
"101","2237",0.00303951367781155
"102","2237",0.00202634245187437
"103","583",0
"104","2166",0.00289017341040462
"105","2231",0
"106","2337",0.00672430355427474
"107","2166",0.000960614793467819
"108","2337",0
"109","410",0.00838414634146342
"110","521",0.0131977884786874
"111","576",0.0111690211676496
"112","577",0.0115522481103405
"113","578",0.0119299172389505
"114","579",0.0117996511881404
"115","686",0.0116692034500254
"116","744",0.0105820105820106
"117","2237",0.00121580547112462
"118","2337",0.00151515151515152
"119","1500",0.00784313725490196
"120","579",0.00437710437710438
"121","976",0
"122","832",0.00889929742388759
"123","833",0.00416040100250627
"124","832",0
"125","833",0.0050314465408805
"126","832",0.00475721528353107
"127","833",0.00335964379680227
"128","833",0.00208333333333333
"129","833",0.000984236591729288
"130","833",0.0403603603603604
"131","832",0.000825082508250825
"132","833",0.0039968849492659
"133","833",0.00802139037433155
"134","832",0.0062260915446511
"135","833",0.00556425388413826
"136","833",0
"137","2231",0.00260529743812419
"138","2337",0.00223713646532438
"139","2557",0.00506585612968592
"140","2227",0.00182370820668693
"141","2337",0.00151975683890578
"142","2337",0.00299850074962519
"143","2231",0.00101317122593718
"144","2184",0.00184049079754601
"145","976",0.00436640654031958
"146","833",0.00205415499533147
"147","832",0.00741677201854193
"148","833",0.00836334533813525
"149","832",0.000751503006012024
"150","832",0.00172013017201302
"151","832",0.00217108119843682
"152","832",0.000217013888888889
"153","832",0.00146327187591455
"154","832",0.00303951367781155
"155","832",0
"156","832",0.00133511348464619
"157","2337",0
"158","2237",0
"159","1438",0.00107066381156317
"160","1549",0.00102406554019457
"161","583",0.00202634245187437
"162","832",0.00972862263184844
"163","454",0.0106543138390272
"164","1136",0.0087895893367018
"165","1342",0.00810536980749747
"166","1398",0.00405268490374873
"167","1406",0.0104463272912471
"168","1506",0.00164744645799012
"169","1679",0.00810536980749747
"170","1915",0.000759878419452888
"171","2067",0.00962512664640324
"172","2075",0.0031661600810537
"173","2176",0.0124374217772215
"174","2183",0.011173740465614
"175","2231",0.0110725141120278
"176","2292",0.00901889092017063
"177","2337",0.00723208415516108
"178","2340",0.00927412163367219
"179","2455",0.0106382978723404
"180","2666",0.00932337744481957
"181","614",0.000506585612968592
"182","941",0.00861195542046606
"183","1342",0.0119980803071509
"184","1621",0.0121580547112462
"185","1900",0.0127337201805287
"186","804",0
"187","834",0.0106382978723404
"188","1081",0.00175660206055343
"189","1136",0.00108685640600534
"190","804",0.00139419288355459
"191","917",0.00103005741303614
"192","1081",0.00714929616531447
"193","1136",0.00734549138804458
"194","1249",0.0060790273556231
"195","1398",0.00227963525835866
"196","1406",0.00212014134275618
"197","1745",0.011144883485309
"198","1915",0.00463163988999855
"199","2015",0.00810536980749747
"200","2022",0.00227963525835866
"201","2072",0.00886524822695035
"202","2176",0.00227963525835866
"203","2183",0.00173686495874946
"204","2231",0.00531914893617021
"205","917",0.00778488939454178
"206","1406",0.0110929397173831
"207","778",0.0141843971631206
"208","1506",0.0060790273556231
"209","2183",0.00405268490374873
"210","834",0.00851063829787234
"211","834",0.0102432778489117
"212","3148",0.000868432479374729
"213","520",0.0128128128128128
"214","521",0.00222061971315088
"215","742",0.00228310502283105
"216","777",0.00101471334348047
"217","834",0.00643631436314363
"218","520",0.0137494148853175
"219","521",0.00680794430794431
"220","579",0.00631911532385466
"221","742",0.00332778702163062
"222","520",0.00111111111111111
"223","2227",0.00395136778115501
"224","2337",0.000647249190938511
"225","3095",0.00302933673469388
"226","2337",0.00075187969924812
"227","583",0.0800405268490375
"228","2237",0.0010498687664042
"229","3148",0.00263296471827278
"230","972",0.00472813238770686
"231","2337",0
"232","2237",0.00101317122593718
"233","2015",0.00628019323671498
"234","2067",0
"235","2129",0.00203562340966921
"236","2018",0.00198675496688742
"237","583",0.00547112462006079
"238","583",0
"239","583",0
"240","917",0.0161667315932996
"241","972",0.0381102126385145
"242","917",0.00101317122593718
"243","3094",0
"244","2231",0.00202634245187437
"245","2237",0.00202634245187437
"246","2067",0.00275027502750275
"247","2610",0
"248","2067",0.00311526479750779
"249","2073",0.00186915887850467
"250","2231",0.0060790273556231
"251","1087",0.0687063875469673
"252","2874",0.00453955901426719
"253","2817",0.00157977883096367
"254","1052",0.00202634245187437
"255","1052",0.00421274354923644
"256","1043",0.00204498977505112
"257","231",0
"258","1051",0.0212892281594572
"259","996",0.0351063829787234
"260","996",0.00202634245187437
"261","2337",0.00204498977505112
"262","2231",0.00060790273556231
"263","2231",0.00476190476190476
"264","724",0.00455927051671732
"265","2231",0.00101317122593718
"266","2237",0
"267","2237",0
"268","2237",0.00405268490374873
"269","2237",0.00547112462006079
"270","2237",0
"271","2237",0
"272","2237",0.00785207700101317
"273","2337",0.00293255131964809
"274","2337",0
"275","1954",0
"276","2009",0
"277","583",0.0192502532928065
"278","583",0.0567375886524823
"279","1052",0.00759878419452887
"280","996",0
"281","2237",0.00810536980749747
"282","2282",0.00102092904543134
"283","2557",0.00379939209726444
"284","2778",0
"285","2130",0
"286","2110",0.00288600288600289
"287","2231",0.000960614793467819
"288","2337",0.000721500721500722
"289","1722",0.00192122958693564
"290","1804",0.0030441400304414
"291","506",0
"292","527",0
"293","583",0.00600876955556758
"294","2076",0
"295","1723",0.0109243697478992
"296","583",0.0032
"297","1386",0
"298","1723",0.00423076923076923
"299","583",0.00869754294411829
"300","833",0.00101317122593718
"301","1249",0
"302","1723",0
"303","583",0.0069094304388422
"304","521",0.00457172479209406
