Name and Taxonomic classification,,,,,,Environment,,,,,,Impact - Status- Year & Country of first introduction in Europe,,,,,,,,Pathways of introduction in Europe,,,,,,,,,,,,,,,,,,,,,,
NAME,Kingdom,Phylum,Class,Order,Family,TER,FW,MAR,EST,PAR,NA,IMPACT,STATUS,YEAR OF INTRODUCTION,CATEGORY,COUNTRY,NOTES,CITATION,PARTLY NATIVE,RELEASE: Biocontrol,RELEASE: Game animals,RELEASE: Landscaping-Erosion control,"RELEASE: Pets, Terrarium-Aquarium species",RELEASE: Other,ESCAPE: Cultivation and Livestock,ESCAPE: Aquaculture,ESCAPE: Ornamental planting,ESCAPE: Use of live food-bait,"ESCAPE: Pets, Terrarium-Aquarium species","ESCAPE: Zoos, botanical gardens",CONTAMINANT: Trade of contaminated commodities,CONTAMINANT: Packaging materials,CONTAMINANT: Aquaculture,STOWAWAY: Shipping,STOWAWAY: Aviation,STOWAWAY: Land transport,CORRIDOR: Lessepsian migrants,CORRIDOR: Inland canals,CORRIDOR: Railroads and Highways,OTHER,UNKNOWN,COMMENTS
Abax parallelus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,1,0,0,0,0,0,,A,1800,2,UK,,"Denux O, Zagatti P, 2010, Coleoptera families other than Cerambycidae, Curculionidae sensu lato, Chrysomelidae sensu lato and Coccinellidae., BioRisk, 4, 315-406",1,,,,,,,,,,,,,,,,,,,,,,p,
Abgrallaspis cyanophylli,Animalia,Arthropoda,Insecta,Hemiptera,Diaspididae,1,0,0,0,0,0,,C,1868,2,France,,Pellizzari & Germain (2010) BioRisk 4: 475-510,1,,,,,,,,,,,,p,,,,,,,,,,,
Ablattaria laevigata,Animalia,Arthropoda,Insecta,Coleoptera,Silphidae,1,0,0,0,0,0,,A,,,Estonia,,"Denux O, Zagatti P, 2010, Coleoptera families other than Cerambycidae, Curculionidae sensu lato, Chrysomelidae sensu lato and Coccinellidae., BioRisk, 4, 315-406",1,,,,,,,,,,,,,,,,,,,,,,p,
Ablerus chionaspidis,Animalia,Arthropoda,Insecta,Hymenoptera,Aphelinidae,1,0,0,0,1,0,,A,1972,1,Italy,,Rasplus et al. (2010) BioRisk 4: 669–776,,p,,,,,,,,,,,,,,,,,,,,,,
Ablerus clisiocampae,Animalia,Arthropoda,Insecta,Hymenoptera,Aphelinidae,1,0,0,0,1,0,,A,1953,1,France,,Rasplus et al. (2010) BioRisk 4: 669–776,,p,,,,,,,,,,,,,,,,,,,,,,
Ablerus perspeciosus,Animalia,Arthropoda,Insecta,Hymenoptera,Aphelinidae,1,0,0,0,1,0,,A,1972,1,France,,Rasplus et al. (2010) BioRisk 4: 669–776,,p,,,,,,,,,,,,,,,,,,,,,,
Abramis brama,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,0,1,0,0,0,0,,A,1985,1,Italy ,,"Froese and Pauly (2013) FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2013)",1,,P,,,,,,,,,,,,,,,,,,,,,
Abramis sapa,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,0,1,0,0,0,0,,A,1995,1,Germany ,,"Froese and Pauly (2013) FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2013)",1,,P,,,,,,,,,,,,,,,,,P,,,,
Aburria cumanensis,Animalia,Chordata,Aves,Craciformes,Cracidae,1,0,0,0,0,0,,Q,2001,3,Spain,," J. Clavell, expert contribution",,,,,,,,,,,,,,,,,,,,,,,p,
Abutilon theophrasti,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,1,0,0,0,0,0,HI,A,1850,3,Austria,,,1,,,,,,p,,,,,,,s,,,,,,,,,,
Abyla trigona,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Abylidae,0,0,1,0,0,0,,A,1984,2,Egypt,,"Zakaria, H.Y., 1992. Distribution and ecology of some zooplankton organisms in the Egyptian Mediterranean waters. M.Sc. Thesis. Faculty of Sci., Alexandria Univ.Zakaria, 2006. ACTA ADRIAT., 47 (2): 195-206.",,,,,,,,,,,,,,,,,,,p,,,,,
Acacia cyclops,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,1,0,0,0,0,0,HI,A,,,Spain,20th century,,,,,p,,,,,p,,,,,,,,,,,,,s,,
Acacia dealbata,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,1,0,0,0,0,0,HI,A,1790,,France,,,,,,s,,,,,p,,,,,,,,,,,,,s,,
Acacia decurrens,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,1,0,0,0,0,0,HI,Q,,,France,,,,,,,,,p,,p,,,,,,,,,,,,,,,
Acacia farnesiana,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,1,0,0,0,0,0,HI,A,1611,1,Italy,,,,,,,,,,,s,,,p,,,,,,,,,,s,,
Acacia karroo,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,1,0,0,0,0,0,HI,A,,,,,,,,,p,,,p,,p,,,,,,,,,,,,,,,
Acacia longifolia,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,1,0,0,0,0,0,HI,A,,2,Portugal,early in the 20th century,,,,,p,,,s,,,,,,,,,,,,,,,,,
Acacia mearnsii,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,1,0,0,0,0,0,HI,A,1991,3,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,p,
Acacia melanoxylon,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,1,0,0,0,0,0,HI,A,1800,2,France,1800s,,,,,p,,,p,,p,,,,,,,,,,,,,,,
Acacia saligna,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,1,0,0,0,0,0,HI,A,2001,3,Spain,,,,,,p,,,,,p,,,,,,,,,,,,,,,
Acalyptris platani,Animalia,Arthropoda,Insecta,Lepidoptera,Nepticulidae,1,0,0,0,0,0,,A,1900,3,Spain,,Lopez- Vaamonde et al (2010) Biorisk 4: 603-668,1,,,,,,,,,,,,p,,,,,,,,,,,
Acanalonia conica,Animalia,Arthropoda,Insecta,Hemiptera,Acanaloniidae,1,0,0,0,0,0,,A,2003,2,Italy,,"Mifsud D, Coquempot C, Mühlethaler R, Wilson M, Streito J-C, 2010, Other Hemiptera Sternorrhyncha (Aleyrodidae, Phylooxeroidea, and Psylloidea) and Hemiptera Auchenorrhyncha., BioRisk, 4, 511-552",1,,,,,,,,,,,,p,,,,,,,,,,,
Acantharctus posteli,Animalia,Arthropoda,Malacostraca,Decapoda,Scyllaridae,0,0,1,0,0,0,,A,1982,3,Spain,,"Garcia Raso, J.E, 1982. Famiglia Scyllaridae Latreille 1825 (rustacea, Decapoda) en la region Sur-Mediterranea espanola. Boletin de la Asociacion Espanola de Entomologia, 6 (1): 73-78.",,,,,,,,,,,,,,,,,,,,,,,p,
Acanthaster planci,Animalia,Echinodermata,Asteroidea,Valvatida,Acanthasteridae,0,0,1,0,0,0,HI,A,2006,3,France,,"WGBOSV, 2006. Report of the ICES/IOC/IMO Working Group on Ballast and Other Ship Vectors (WGBOSV), 13-15 March 2006, Oostende, Belgium.",,,,,,,,,,,,,,,,p,,,,,,,,
Acanthocephalus lucii,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,0,1,0,0,0,0,,C,1700,2,Ireland,,Minchin (2007) Aquatic Invasions 2: 341-366,1,,,,,,,,,,,,,,,,,,,,,,p,
Acanthocheilonema perstans ,Animalia,Nematoda,Secernentea,Spirurida,Onchocercidae,1,0,0,0,1,0,,A,1890,2,UK,United Kingdom (England),Manson P. (1898) British Medical Journal II: 1672-1677.,,,,,,p,,,,,,,,,,s,s,s,,,s,,,
