"","V1"
"1",5754817
"2",7561279
"3",4448418
"4",1364478
"5",1364517
"6",1364531
"7",9809222
"8",2367024
"9",2482305
"10",3152614
"11",2264928
"12",2980425
"13",2979474
"14",2979778
"15",2979265
"16",3974754
"17",2978730
"18",2979775
"19",2979000
"20",2978552
"21",4527322
"22",2064632
"23",2221710
"24",2271208
"25",9801951
"26",10595482
"27",1151435
"28",1102084
"29",4449493
"30",1248774
"31",4492363
"32",2392311
"33",5277294
"34",5193729
"35",1047525
"36",6275970
"37",2153823
"38",3100375
"39",1412626
"40",1412616
"41",4373187
"42",4333206
"43",4333247
"44",4333235
"45",2114446
"46",2480637
"47",3189866
"48",3189846
"49",3189870
"50",1384680
"51",4544313
"52",4544719
"53",2128502
"54",6135493
"55",4544342
"56",9787222
"57",4544391
"58",2128510
"59",4544321
"60",4544517
"61",10582307
"62",1753875
"63",1718308
"64",3120333
"65",3120376
"66",7812075
"67",3085168
"68",1697617
"69",2402129
"70",2402193
"71",2402168
"72",2402159
"73",2402203
"74",2402122
"75",2013998
"76",2014048
"77",2014023
"78",2014031
"79",1188302
"80",1739837
"81",1739833
"82",4448454
"83",2438264
"84",2438261
"85",9038042
"86",5109387
"87",2873769
"88",2873807
"89",2562367
"90",2489010
"91",2489005
"92",4433528
"93",1044952
"94",2664342
"95",2663971
"96",8280204
"97",1118064
"98",4462506
"99",5209531
"100",1421117
"101",2658484
"102",3199341
"103",6097688
"104",8047391
"105",4435781
"106",4435758
"107",4435859
"108",4435760
"109",4435724
"110",5969672
"111",4359671
"112",4359672
"113",4526928
"114",2505225
"115",4412423
"116",5421596
"117",4435662
"118",4377664
"119",4543905
"120",6914433
"121",2128536
"122",4543942
"123",4544126
"124",4543960
"125",2077507
"126",2077518
"127",2077497
"128",2077491
"129",2077463
"130",2077503
"131",2077443
"132",4499838
"133",2049722
"134",2049739
"135",7335777
"136",4451118
"137",1040288
"138",1651430
"139",1651718
"140",1652212
"141",1652150
"142",1652274
"143",5289783
"144",2283438
"145",1378816
"146",4289012
"147",1420995
"148",1420978
"149",1420984
"150",1421001
"151",4424276
"152",2267509
"153",2267503
"154",3227022
"155",3222886
"156",2949250
"157",1010422
"158",4372407
"159",2211255
"160",5226308
"161",5226321
"162",4497745
"163",2479555
"164",2479544
"165",2479559
"166",2479553
"167",9770031
"168",2479560
"169",5279568
"170",5243392
"171",5243447
"172",5243506
"173",1888554
"174",5055183
"175",2766636
"176",7582756
"177",1377762
"178",1377774
"179",5400613
"180",5400790
"181",5401673
"182",5260284
"183",2656914
"184",2656908
"185",1045944
"186",1877988
"187",1877941
"188",4432673
"189",5878492
"190",4432736
"191",4308843
"192",7941167
"193",2533207
"194",1043858
"195",6992701
"196",2667162
"197",2306982
"198",3190653
"199",10638056
"200",4450313
"201",2498388
"202",2498387
"203",2972983
"204",3203258
"205",2362925
"206",2362899
"207",2440940
"208",3190715
"209",2474045
"210",2474029
"211",2474055
"212",2474051
"213",4595294
"214",1040779
"215",8335840
"216",7624596
"217",1040764
"218",5874866
