"Scientific name","Common name","Coverage","URL",
"Contarinia jongi","","Basic","https://www.cabi.org/isc/datasheet/96735061",
"Vespa mandarinia","Asian giant hornet","Full","https://www.cabi.org/isc/datasheet/35294260",
"Aleurodicus rugioperculatus","rugose spiralling whitefly","Basic","https://www.cabi.org/isc/datasheet/122299",
"Bactrocera carambolae","carambola fruit fly","Full","https://www.cabi.org/isc/datasheet/8700",
"Paracoccus marginatus","papaya mealybug","Full","https://www.cabi.org/isc/datasheet/39201",
"Bactrocera oleae","olive fruit fly","Full","https://www.cabi.org/isc/datasheet/17689",
"Bactrocera umbrosa","","Full","https://www.cabi.org/isc/datasheet/8747",
"Bactrocera caryeae","","Full","https://www.cabi.org/isc/datasheet/8699",
"Erschoviella musculana","Asian walnut moth","Full","https://www.cabi.org/isc/datasheet/21877",
"Spodoptera frugiperda","fall armyworm","Full","https://www.cabi.org/isc/datasheet/29810",
"Planococcus citri","citrus mealybug","Full","https://www.cabi.org/isc/datasheet/45082",
"Trirachys holosericeus","apple stem borer","Full","https://www.cabi.org/isc/datasheet/3428",
"Bactrocera zonata","peach fruit fly","Full","https://www.cabi.org/isc/datasheet/17694",
"Bactrocera latifrons","Solanum fruit fly","Full","https://www.cabi.org/isc/datasheet/8719",
"Spodoptera eridania","southern armyworm","Full","https://www.cabi.org/isc/datasheet/44518",
"Drosophila suzukii","spotted wing drosophila","Full","https://www.cabi.org/isc/datasheet/109283",
"Anastrepha striata","guava fruit fly","Full","https://www.cabi.org/isc/datasheet/5667",
"Bactrocera tau","","Full","https://www.cabi.org/isc/datasheet/8741",
"Spodoptera exempta","black armyworm","Full","https://www.cabi.org/isc/datasheet/29809",
"Helicoverpa zea","American cotton bollworm","Full","https://www.cabi.org/isc/datasheet/26776",
"Cydalima perspectalis","box tree moth","Full","https://www.cabi.org/isc/datasheet/118433",
"Diaphorina citri","Asian citrus psyllid","Full","https://www.cabi.org/isc/datasheet/18615",
"Erionota torus","banana skipper","Full","https://www.cabi.org/isc/datasheet/21834",
"Dacus ciliatus","lesser pumpkin fly","Full","https://www.cabi.org/isc/datasheet/17682",
"Bactrocera cucurbitae","melon fly","Full","https://www.cabi.org/isc/datasheet/17683",
"Bactrocera dorsalis","Oriental fruit fly","Full","https://www.cabi.org/isc/datasheet/17685",
"Bactrocera tryoni","Queensland fruit fly","Full","https://www.cabi.org/isc/datasheet/17693",
"Culex quinquefasciatus","southern house mosquito","Full","https://www.cabi.org/isc/datasheet/86848",
"Lygaeus creticus","","Basic","https://www.cabi.org/isc/datasheet/26746480",
"Lycorma delicatula","spotted laternfly","Basic","https://www.cabi.org/isc/datasheet/110524",
"Manduca blackburni","","Basic","https://www.cabi.org/isc/datasheet/120887",
"Phlebotomus","","Basic","https://www.cabi.org/isc/datasheet/98812",
"Ceratitis catoirii","","Basic","https://www.cabi.org/isc/datasheet/12371",
"Bruchela rufipes","","Basic","https://www.cabi.org/isc/datasheet/112818",
"Bruchidius foveolatus","","Basic","https://www.cabi.org/isc/datasheet/112819",
"Bruchidius lividimanus","","Basic","https://www.cabi.org/isc/datasheet/112820",
"Bruchus loti","","Basic","https://www.cabi.org/isc/datasheet/112821",
"Bruchus rufipes","","Basic","https://www.cabi.org/isc/datasheet/112822",
"Bucculatrix chrysanthemella","","Basic","https://www.cabi.org/isc/datasheet/112831",
"Oligella intermedia","","Basic","https://www.cabi.org/isc/datasheet/115919",
"Oligota pusillima","","Basic","https://www.cabi.org/isc/datasheet/115927",
"Olophrum fuscum","","Basic","https://www.cabi.org/isc/datasheet/115929",
"Omalium rivulare","","Basic","https://www.cabi.org/isc/datasheet/115931",
"Omonadus formicarius","","Basic","https://www.cabi.org/isc/datasheet/115935",
"Onthophagus illyricus","","Basic","https://www.cabi.org/isc/datasheet/115951",
"Onthophagus nutans","","Basic","https://www.cabi.org/isc/datasheet/115952",
"Callopsylla gemina","","Basic","https://www.cabi.org/isc/datasheet/112891",
"Caloptilla rufipennella","","Basic","https://www.cabi.org/isc/datasheet/112894",
"Helochares lividus","","Basic","https://www.cabi.org/isc/datasheet/114739",
"Heringocrania unimaculella","","Basic","https://www.cabi.org/isc/datasheet/114768",
"Heteropterus morpheus","large chequered skipper","Basic","https://www.cabi.org/isc/datasheet/114785",
"Heterota plumbea","","Basic","https://www.cabi.org/isc/datasheet/114788",
"Vitula edmandsii","","Basic","https://www.cabi.org/isc/datasheet/117865",
"Vryburgia rimariae","","Basic","https://www.cabi.org/isc/datasheet/117871",
"Ptinella cavelli","","Basic","https://www.cabi.org/isc/datasheet/116601",
"Ptinella taylorae","","Basic","https://www.cabi.org/isc/datasheet/116605",
"Ptycholoma peritana","","Basic","https://www.cabi.org/isc/datasheet/116606",
"Pycnocelus surinamensis","","Basic","https://www.cabi.org/isc/datasheet/116633",
"Pycnomerus fuliginosus","","Basic","https://www.cabi.org/isc/datasheet/116634",
"Crambus leucoschalis","","Basic","https://www.cabi.org/isc/datasheet/113566",
"Strumigenys membranifera","","Basic","https://www.cabi.org/isc/datasheet/116640",
"Pyroderces argyrogrammos","","Basic","https://www.cabi.org/isc/datasheet/116644",
"Quedius mesomelinus","","Basic","https://www.cabi.org/isc/datasheet/116651",
"Ramburiella turcomana","","Basic","https://www.cabi.org/isc/datasheet/116655",
"Ramonda myconi","","Basic","https://www.cabi.org/isc/datasheet/116656",
"Remus pruinosus","","Basic","https://www.cabi.org/isc/datasheet/116685",
"Reticulaphis distylii","","Basic","https://www.cabi.org/isc/datasheet/116695",
"Anthicus czernohorskyi","","Basic","https://www.cabi.org/isc/datasheet/112302",
"Anthrenus caucasicus","","Basic","https://www.cabi.org/isc/datasheet/112305",
"Anthrenus festivus","","Basic","https://www.cabi.org/isc/datasheet/112306",
"Anthrenus museorum","","Basic","https://www.cabi.org/isc/datasheet/112308",
"Antonina crawi","","Basic","https://www.cabi.org/isc/datasheet/112319",
"Anuraphis catonii","","Basic","https://www.cabi.org/isc/datasheet/112328",
"Aonidiella tinerfensis","","Basic","https://www.cabi.org/isc/datasheet/112329",
"Luperomorpha nigripennis","","Basic","https://www.cabi.org/isc/datasheet/115402",
"Aphelonyx cerricola","","Basic","https://www.cabi.org/isc/datasheet/112338",
"Aphis balloticola","","Basic","https://www.cabi.org/isc/datasheet/112339",
"Aphis catalpae","","Basic","https://www.cabi.org/isc/datasheet/112340",
"Aphis passeriniana","","Basic","https://www.cabi.org/isc/datasheet/112342",
"Aphis salicariae","","Basic","https://www.cabi.org/isc/datasheet/112343",
"Aphodius gracilis","","Basic","https://www.cabi.org/isc/datasheet/112346",
"Aphodius scrofa","","Basic","https://www.cabi.org/isc/datasheet/112347",
"Macrolophus glaucescens","","Basic","https://www.cabi.org/isc/datasheet/115450",
"Macrosiphum ptericolens","","Basic","https://www.cabi.org/isc/datasheet/115456",
"Apterygothrips pinicolus","","Basic","https://www.cabi.org/isc/datasheet/112381",
"Magdalis memnonia","","Basic","https://www.cabi.org/isc/datasheet/115461",
"Eriococcus buxi","","Basic","https://www.cabi.org/isc/datasheet/114221",
"Eriozona erratica","","Basic","https://www.cabi.org/isc/datasheet/114224",
"Eriozona syrphoides","","Basic","https://www.cabi.org/isc/datasheet/114225",
"Stenchaetothrips spinalis","","Basic","https://www.cabi.org/isc/datasheet/117331",
"Stenoptilia millieridactylus","","Basic","https://www.cabi.org/isc/datasheet/117334",
"Stictocephala bubalis","","Basic","https://www.cabi.org/isc/datasheet/117341",
"Stigmella atricapitella","","Basic","https://www.cabi.org/isc/datasheet/117343",
"Stigmella centifoliella","","Basic","https://www.cabi.org/isc/datasheet/117345",
"Stigmella heringella","","Basic","https://www.cabi.org/isc/datasheet/117346",
"Stigmella pyri","","Basic","https://www.cabi.org/isc/datasheet/117347",
"Stigmella suberivora","","Basic","https://www.cabi.org/isc/datasheet/117348",
"Ethmia terminella","","Basic","https://www.cabi.org/isc/datasheet/114281",
"Euclasta varii","","Basic","https://www.cabi.org/isc/datasheet/114290",
"Eulachnus bluncki","","Basic","https://www.cabi.org/isc/datasheet/114292",
"Eulepidosaphes pyriformis","","Basic","https://www.cabi.org/isc/datasheet/114295",
"Eumerus funeralis","","Basic","https://www.cabi.org/isc/datasheet/114296",
"Strophosoma melanogrammum","","Basic","https://www.cabi.org/isc/datasheet/117375",
"Sunius propinquus","","Basic","https://www.cabi.org/isc/datasheet/117388",
"Syagrius intrudens","","Basic","https://www.cabi.org/isc/datasheet/117391",
"Carpophilus succisus","","Basic","https://www.cabi.org/isc/datasheet/113017",
"Cathormiocerus curvipes","","Basic","https://www.cabi.org/isc/datasheet/113029",
"Panspaeus guttatus","","Basic","https://www.cabi.org/isc/datasheet/116104",
"Paoliella eastopi","","Basic","https://www.cabi.org/isc/datasheet/116107",
"Paranchus albipes","","Basic","https://www.cabi.org/isc/datasheet/116135",
"Parapoynx obscuralis","","Basic","https://www.cabi.org/isc/datasheet/116141",
"Parasyrphus malinellus","","Basic","https://www.cabi.org/isc/datasheet/116143",
"Parlatoria crotonis","","Basic","https://www.cabi.org/isc/datasheet/116158",
"Croitana aestiva","desert sand skipper","Basic","https://www.cabi.org/isc/datasheet/119240",
"Peliococcus serratus","","Basic","https://www.cabi.org/isc/datasheet/116189",
"Pseudleptomastix","","Basic","https://www.cabi.org/isc/datasheet/107907",
"Pseudleptomastix mexicana","","Basic","https://www.cabi.org/isc/datasheet/107908",
"Cryptalaus berus","","Basic","https://www.cabi.org/isc/datasheet/108151",
"Sclerodermus harmandi","","Basic","https://www.cabi.org/isc/datasheet/108152",
"Tetrigus lewisi","","Basic","https://www.cabi.org/isc/datasheet/108155",
"Forficula","","Basic","https://www.cabi.org/isc/datasheet/24344",
"Chaetocnema breviuscula","","Basic","https://www.cabi.org/isc/datasheet/121294",
"Hypocaccus dimidiatus","","Basic","https://www.cabi.org/isc/datasheet/114916",
"Hypoponera ergatandria","","Basic","https://www.cabi.org/isc/datasheet/114923",
"Hypoponera punctissima","","Basic","https://www.cabi.org/isc/datasheet/114925",
"Idaea bonifata","","Basic","https://www.cabi.org/isc/datasheet/114936",
"Illinoia andromedae","","Basic","https://www.cabi.org/isc/datasheet/114939",
"Illinoia rhododendri","","Basic","https://www.cabi.org/isc/datasheet/114943",
"Impatientinum asiaticum","","Basic","https://www.cabi.org/isc/datasheet/114949",
"Inglisia lounsburyi","","Basic","https://www.cabi.org/isc/datasheet/114952",
"Cybister lateralimarginalis","","Basic","https://www.cabi.org/isc/datasheet/113703",
"Cydia grunertiana","","Basic","https://www.cabi.org/isc/datasheet/113716",
"Cynaeus depressus","","Basic","https://www.cabi.org/isc/datasheet/113722",
"Cypha pulicaria","","Basic","https://www.cabi.org/isc/datasheet/113767",
"Dactynotus erigeronensis","","Basic","https://www.cabi.org/isc/datasheet/113788",
"Asterolecanium epidendri","","Basic","https://www.cabi.org/isc/datasheet/112513",
"Atheta acuticollis","","Basic","https://www.cabi.org/isc/datasheet/112540",
"Atheta amicula","","Basic","https://www.cabi.org/isc/datasheet/112541",
"Atheta atramentaria","","Basic","https://www.cabi.org/isc/datasheet/112542",
"Atheta dilutipennis","","Basic","https://www.cabi.org/isc/datasheet/112544",
"Atheta divisa","","Basic","https://www.cabi.org/isc/datasheet/112545",
"Atheta luridipennis","","Basic","https://www.cabi.org/isc/datasheet/112547",
"Atheta mucronata","","Basic","https://www.cabi.org/isc/datasheet/112548",
"Atheta nigra","","Basic","https://www.cabi.org/isc/datasheet/112549",
"Atheta oblita","","Basic","https://www.cabi.org/isc/datasheet/112551",
"Atheta palustris","","Basic","https://www.cabi.org/isc/datasheet/112552",
"Atheta sordida","","Basic","https://www.cabi.org/isc/datasheet/112553",
"Atheta triangulum","","Basic","https://www.cabi.org/isc/datasheet/112554",
"Atheta trinotata","","Basic","https://www.cabi.org/isc/datasheet/112555",
"Atomaria consanguinea","","Basic","https://www.cabi.org/isc/datasheet/112560",
"Atomaria fuscata","","Basic","https://www.cabi.org/isc/datasheet/112561",
"Atomaria hislopi","","Basic","https://www.cabi.org/isc/datasheet/112563",
"Atomaria lohsei","","Basic","https://www.cabi.org/isc/datasheet/112565",
"Atomaria munda","","Basic","https://www.cabi.org/isc/datasheet/112566",
"Atomaria nitidula","","Basic","https://www.cabi.org/isc/datasheet/112567",
"Monoksa dorsiplana","","Basic","https://www.cabi.org/isc/datasheet/115643",
"Monotoma picipes","","Basic","https://www.cabi.org/isc/datasheet/115648",
"Monotoma quadrifoveolata","","Basic","https://www.cabi.org/isc/datasheet/115649",
"Atomaria strandi","","Basic","https://www.cabi.org/isc/datasheet/112570",
"Mordellistena multicicatrix","","Basic","https://www.cabi.org/isc/datasheet/115659",
"Attagenus diversepubescens","","Basic","https://www.cabi.org/isc/datasheet/112599",
"Mycetoporus nigricollis","","Basic","https://www.cabi.org/isc/datasheet/115679",
"Myllaena brevicornis","","Basic","https://www.cabi.org/isc/datasheet/115681",
"Forficula smyrnensis","","Basic","https://www.cabi.org/isc/datasheet/114417",
"Thera britannica","","Basic","https://www.cabi.org/isc/datasheet/117504",
"Theretra latreillii","","Basic","https://www.cabi.org/isc/datasheet/117506",
"Thes bergrothi","","Basic","https://www.cabi.org/isc/datasheet/117508",
"Gabronthus thermarum","","Basic","https://www.cabi.org/isc/datasheet/114447",
"Tinocallis zelkowae","","Basic","https://www.cabi.org/isc/datasheet/117547",
"Tipnus unicolor","","Basic","https://www.cabi.org/isc/datasheet/117548",
"Trechus subnotatus","","Basic","https://www.cabi.org/isc/datasheet/117584",
"Treptoplatypus solidus","","Basic","https://www.cabi.org/isc/datasheet/117585",
"Trichocorixa verticalis","","Basic","https://www.cabi.org/isc/datasheet/117588",
"Trichodectes octomaculatus","","Basic","https://www.cabi.org/isc/datasheet/117590",
"Trichosiphonaphis polygonifoliae","","Basic","https://www.cabi.org/isc/datasheet/117594",
"Tricorynus tabaci","","Basic","https://www.cabi.org/isc/datasheet/117597",
"Phymatocera aterrima","","Basic","https://www.cabi.org/isc/datasheet/116313",
"Chermes pineoides","","Basic","https://www.cabi.org/isc/datasheet/113245",
"Chrysolina viridana","","Basic","https://www.cabi.org/isc/datasheet/113297",
"Platypus curtus","","Basic","https://www.cabi.org/isc/datasheet/116386",
"Ploiaria chilensis","","Basic","https://www.cabi.org/isc/datasheet/116397",
"Acizzia hollisi","","Basic","https://www.cabi.org/isc/datasheet/112024",
"Acrotina parens","","Basic","https://www.cabi.org/isc/datasheet/112035",
"Actias isabellae","","Basic","https://www.cabi.org/isc/datasheet/112037",
"Acutaspis perseae","","Basic","https://www.cabi.org/isc/datasheet/112040",
"Adota maritima","","Basic","https://www.cabi.org/isc/datasheet/112044",
"Agassiziella angulipennis","","Basic","https://www.cabi.org/isc/datasheet/112056",
"Laspeyresia milleniana","","Basic","https://www.cabi.org/isc/datasheet/115138",
"Aglyptinus agathidioides","","Basic","https://www.cabi.org/isc/datasheet/112060",
"Lathrobium fulvipenne","","Basic","https://www.cabi.org/isc/datasheet/115142",
"Leistus nubivagus","","Basic","https://www.cabi.org/isc/datasheet/115178",
"Sepedophilus lusitanicus","","Basic","https://www.cabi.org/isc/datasheet/117095",
"Aeolothrips","","Basic","https://www.cabi.org/isc/datasheet/3431",
"Aleurodicus","","Basic","https://www.cabi.org/isc/datasheet/4138",
"Coccygidium luteum","","Basic","https://www.cabi.org/isc/datasheet/98983305",
"Paralucia pyrodiscus lucida","","Basic","https://www.cabi.org/isc/datasheet/120241",
"Hypocosmia","","Basic","https://www.cabi.org/isc/datasheet/11520769",
"Digitonthophagus gazella","","Basic","https://www.cabi.org/isc/datasheet/113906",
"Dohrniphora papuana","","Basic","https://www.cabi.org/isc/datasheet/113936",
"Dolopteryx domestica","","Basic","https://www.cabi.org/isc/datasheet/113939",
"Dorcadothrips billeni","","Basic","https://www.cabi.org/isc/datasheet/113943",
"Dorcadothrips xanthius","cactus scale","Basic","https://www.cabi.org/isc/datasheet/113944",
"Drepanosiphum aceris","","Basic","https://www.cabi.org/isc/datasheet/113961",
"Drosophila curvispina","","Basic","https://www.cabi.org/isc/datasheet/113968",
"Dryadaula pactolia","","Basic","https://www.cabi.org/isc/datasheet/113969",
"Dryocoetes himalayensis","","Basic","https://www.cabi.org/isc/datasheet/113970",
"Earias ansorgei","","Basic","https://www.cabi.org/isc/datasheet/113981",
"Cotesia icipe","","Basic","https://www.cabi.org/isc/datasheet/35414119",
"Bifascioides leucomelanellus","","Basic","https://www.cabi.org/isc/datasheet/112701",
"Bisnius palmi","","Basic","https://www.cabi.org/isc/datasheet/112710",
"Bisnius sordidus","","Basic","https://www.cabi.org/isc/datasheet/112712",
"Blaberus parabolicus","","Basic","https://www.cabi.org/isc/datasheet/112715",
"Blaps mortisaga","","Basic","https://www.cabi.org/isc/datasheet/112718",
"Blastobasis maroccanella","","Basic","https://www.cabi.org/isc/datasheet/112719",
"Blastobasis phycidella","","Basic","https://www.cabi.org/isc/datasheet/112720",
"Blastobasis vittata","","Basic","https://www.cabi.org/isc/datasheet/112721",
"Novelsis horni","","Basic","https://www.cabi.org/isc/datasheet/115816",
"Bombus hortorum","","Basic","https://www.cabi.org/isc/datasheet/112743",
"Borkhausenia nefrax","","Basic","https://www.cabi.org/isc/datasheet/112753",
"Bovicola alpinus","","Basic","https://www.cabi.org/isc/datasheet/112764",
"Ocnerostoma piniariella","","Basic","https://www.cabi.org/isc/datasheet/115840",
"Brachygluta paludosa","","Basic","https://www.cabi.org/isc/datasheet/112774",
"Brachypeplus mauli","","Basic","https://www.cabi.org/isc/datasheet/112777",
"Odontofroggatia galili","","Basic","https://www.cabi.org/isc/datasheet/115851",
"Odontothrips meliloti","","Basic","https://www.cabi.org/isc/datasheet/115852",
"Brachytemnus porcatus","","Basic","https://www.cabi.org/isc/datasheet/112782",
"Gnathocerus maxillosus","","Basic","https://www.cabi.org/isc/datasheet/114614",
"Gracilia minuta","","Basic","https://www.cabi.org/isc/datasheet/114626",
"Tychius cuprifer","","Basic","https://www.cabi.org/isc/datasheet/117705",
"Gugolzia harmolitae","","Basic","https://www.cabi.org/isc/datasheet/114640",
"Umbaspis regularis","","Basic","https://www.cabi.org/isc/datasheet/117720",
"Urocerus californicus","","Basic","https://www.cabi.org/isc/datasheet/117727",
"Urocerus fantoma","","Basic","https://www.cabi.org/isc/datasheet/117728",
"Gyrophaena bihamata","","Basic","https://www.cabi.org/isc/datasheet/114658",
"Halacritus punctum","","Basic","https://www.cabi.org/isc/datasheet/114665",
"Halobrecta flavipes","","Basic","https://www.cabi.org/isc/datasheet/114668",
"Haplothrips rivnayi","","Basic","https://www.cabi.org/isc/datasheet/114678",
"Harmolita orchidearum","","Basic","https://www.cabi.org/isc/datasheet/114681",
"Harpalus cupreus","","Basic","https://www.cabi.org/isc/datasheet/114682",
"Colobopyga kewensis","","Basic","https://www.cabi.org/isc/datasheet/113407",
"Conoderus posticus","","Basic","https://www.cabi.org/isc/datasheet/113421",
"Contarina maculipennis","blossom midge","Basic","https://www.cabi.org/isc/datasheet/113431",
"Contarinia panici","","Basic","https://www.cabi.org/isc/datasheet/113432",
"Copidothrips octarticulatus","","Basic","https://www.cabi.org/isc/datasheet/113447",
"Cordalia obscura","","Basic","https://www.cabi.org/isc/datasheet/113449",
"Prenolepis jaegerskioeldi","","Basic","https://www.cabi.org/isc/datasheet/116529",
"Cordicomus instabilis","","Basic","https://www.cabi.org/isc/datasheet/113450",
"Pristiphora angulata","","Basic","https://www.cabi.org/isc/datasheet/116536",
"Pristiphora saxesenii","","Basic","https://www.cabi.org/isc/datasheet/116542",
"Pristiphora thalictri","","Basic","https://www.cabi.org/isc/datasheet/116543",
"Prodecatoma cooki","","Basic","https://www.cabi.org/isc/datasheet/116548",
"Prodiplosis vaccinii","","Basic","https://www.cabi.org/isc/datasheet/116549",
"Prodiplosis violicola","","Basic","https://www.cabi.org/isc/datasheet/116550",
