cells,avg_pi,median_pi,sd_pi,var_pi,richness,hill_1,hill_2,hill_3,hill_4,hill_5,hill_1_c,hill_2_c,hill_3_c,hill_4_c,hill_5_c,hill_1_r,hill_2_r,hill_3_r,hill_4_r,hill_5_r
20,0.00229787574838998,0.000922069686380438,0.00324403839601471,1.05237851148177e-05,53,25.0211188533697,17.9329809436401,14.7670831622882,25.0211188533697,25.0211188533697,0.472096582139051,0.338358131012077,0.278624210609211,0.247150943619113,0.228435299309432,5.16890657525756,4.16548050785304,3.64328312561539,3.72986845817419,3.41239055551318
31,0.00298219698779412,0.000912967478317022,0.00403099045343799,1.62488840357082e-05,11,5.10351299883974,4.13385221852835,3.67964486498915,5.10351299883974,5.10351299883974,0.463955727167249,0.375804747138941,0.334513169544468,0.311230369207792,0.296603580008396,4.87443432210198,4.08638078893973,3.84844693184792,3.47363987842105,3.49130527958285
33,0.00207604275217631,0.000695312225391741,0.00347469220617699,1.20734859276671e-05,78,30.6147995970024,20.7149916818177,16.9581375277956,30.6147995970024,30.6147995970024,0.392497430730801,0.26557681643356,0.217412019587122,0.193409066766483,0.179068335001589,4.77039781939099,3.89611046913666,3.32836602005331,3.04471364782502,2.96119738495562
34,0.00215493055103256,0.0010351594192776,0.00287579655965206,8.27020585250665e-06,82,40.9241275372612,29.7185097990365,24.772607133418,40.9241275372612,40.9241275372612,0.499074726064161,0.362420851207763,0.302104965041683,0.268017842808902,0.245485360876378,5.7405589829244,4.31346939490851,3.63392760308471,3.78175736571477,3.58301186128414
35,0.00187345613682863,0.000698449669722962,0.00361507665750302,1.30687792396232e-05,27,9.46737221021845,5.88804271265008,4.57177112247371,9.46737221021845,9.46737221021845,0.350643415193276,0.218075656024077,0.169324856387915,0.147733536740581,0.136419330699229,4.19920876921451,3.60301071954884,3.24046138298785,3.21482288484035,3.0150541010679
52,0.00129470883453804,0.000741374179145168,0.00158594276711113,2.5152144605521e-06,231,125.952294603029,92.6227972552976,75.6039712707343,125.952294603029,125.952294603029,0.545248028584539,0.400964490282673,0.327289918920928,0.284702008707978,0.257081589619152,5.92694675614708,4.86195477617658,4.38942032026207,3.99809326840187,3.79803025469365
62,0.00114004765060825,0.00100767053897504,0.00114795131322084,1.31779221752545e-06,42,26.4954848801373,21.1079379824488,17.4953657776,26.4954848801373,26.4954848801373,0.630844878098508,0.502569951963067,0.416556328038095,0.360881116860131,0.324543349744641,6.51667408558296,5.73484155238557,5.12334470988509,4.83091289685004,4.63589062751611
63,0.00166831397395046,0.000913713133115827,0.00185149323950288,3.42802721592488e-06,55,31.0620684624157,24.895211614678,21.6805801314975,31.0620684624157,31.0620684624157,0.564764881134832,0.452640211175963,0.394192366027226,0.358796096361381,0.335118100889178,5.80887221758937,4.98959292271847,4.57079723604961,4.26663811019303,4.088755520299
64,0.00190284102650887,0.00122106249163656,0.00242878145627207,5.89897936233108e-06,12,6.50468282165878,4.81265804740141,3.94700461606182,6.50468282165878,6.50468282165878,0.542056901804898,0.401054837283451,0.328917051338485,0.292830726445483,0.272980381182126,5.9605584312172,5.05074135881975,4.72456762543707,3.88576615828507,4.02236002239937
65,0.00269372138062642,0.00183264795279814,0.00307200577167383,9.43721946119731e-06,13,8.49202470265912,5.90764109668964,4.64948285757505,8.49202470265912,8.49202470265912,0.653232669435317,0.454433930514588,0.357652527505773,0.311589408743449,0.287293361590133,7.06726585575037,5.88561357966237,5.26860212455359,5.00810297559892,5.23219869250527
124,0.00221691138710872,0.000979131792785494,0.00337377851024535,1.13823814361933e-05,22,9.78383123735824,6.85205281042841,5.4795523514109,9.78383123735824,9.78383123735824,0.444719601698102,0.311456945928564,0.249070561427768,0.217660267217068,0.200190928971694,4.9652428649548,4.22550249103828,3.97852931266557,3.32098199866587,3.47229373849114
126,0.00234151825196082,0.00121864790805428,0.00269675541400469,7.27248976296359e-06,30,17.0539011778501,13.145057809382,11.0076935314955,17.0539011778501,17.0539011778501,0.568463372595003,0.438168593646068,0.366923117716515,0.323219503727816,0.294657736375801,6.01336824730125,5.01960206305345,4.35879499540331,4.11739032577308,3.9538759562646
