cells,avg_pi,sd_pi
28535,0.00562113546936481,0.00351039797549095
28535,0.0122751322751323,0.00946784906040659
28535,0.000922509225092251,0.00101055822417927
28535,0.00076219512195122,0.000834942923026168
28535,0.00683760683760684,0.00452265181378563
28535,0,0
28535,0.0015220700152207,0.000962641601268913
28535,0.00303951367781155,0.00235439717094676
28535,0.00394944707740916,0.0043264025079397
28535,0,0
28535,0,0
28535,0,0
28535,0,0
28535,0,0
16660,0,0
16661,0,0
28535,0.00207684319833853,0.00179859896943809
28535,0.0135593220338983,0.00896864851208336
28535,0.0093167701863354,0.00676847662040477
14100,0,0
28535,0.00785634118967452,0.0068037910510562
28535,0.00453514739229025,0.00259783202661896
28535,0.0257201646090535,0.0209520698090703
28535,0,0
16660,0.00476190476190476,0.0039497983530148
16661,0.0122774708410068,0.0106326016425345
28535,0.00202634245187437,0.000877432020045024
16660,0.00434782608695652,0.00561301934232959
16661,0.00202634245187437,0.00140571802690087
5560,0.00212632895559725,0.00156437033364501
16660,0.00587889476778366,0.00509127221507607
16660,0.000753295668549906,0.000972500526354656
16661,0,0
14100,0.00294464075382803,0.00144257346453662
16660,0,0
5560,0.015234375,0.0308130405891404
16301,0.0540229885057471,0.040995969650552
13028,0.0110544217687075,0.00978445568955274
16661,0.00617760617760618,0.00414453789394807
16660,0.0229885057471264,0.0165905249767134
16660,0.00418848167539267,0.00262747871800726
5560,0,0
24392,0.00284679089026915,0.00151396901093722
16301,0.0396039603960396,0.0323688186007169
16660,0,0
16661,0,0
14100,0.00866250866250866,0.00403490689619117
16660,0,0
10483,0,0
16660,0.00623052959501558,0.00305232366701954
16660,0.00444444444444444,0.00279687223679967
16661,0.00206124852767962,0.00132998701892064
5560,0,0
14817,0.00114285714285714,0.000983614818084423
14100,0.0134751773049645,0.00171292869340301
16660,0,0
13028,0.0259649122807018,0.020489545713202
16301,0.00118203309692671,0.00102367069005253
16660,0.0273833671399594,0.0194380750662137
16301,0,0
16660,0.0196759259259259,0.0104551757320706
16660,0.00119047619047619,0.0010309826235529
14100,0.00177304964539007,0.0011213750567973
13028,0.00182830549322696,0.00150898720342809
15597,0.0118380062305296,0.00706004509618208
16301,0.0295315682281059,0.0323502121540729
16661,0.00236406619385343,0.00102367069005253
16660,0.00918367346938775,0.00309505120165369
16661,0.00211640211640212,0.00178868625339369
16660,0,0
10483,0.00714285714285714,0.00487806585041952
16661,0,0
16660,0,0
14817,0.00117994100294985,0.00109241309707676
14817,0,0
16660,0.00340136054421769,0.00294566463872258
16301,0.0136986301369863,0.0015220700152207
16660,0.0235081374321881,0.0124410894759194
10483,0.0033375580904098,0.0043495603683285
15597,0.000931098696461825,0.00101996751863159
13028,0.00732600732600733,0.00327629007692277
28535,0.0106194690265487,0.00620371385405072
16660,0.00283687943262411,0.0022427501135946
16660,0.00828828828828829,0.00845973182542175
16661,0.0159380692167577,0.00992269848088733
16661,0.0061014771997431,0.00411748758505449
