cells,median.pi.avg,median.pi.sd,mean.pi.avg,mean.pi.sd,sd.pi.avg,sd.pi.sd,hill.zero.avg,hill.zero.sd,hill.one.avg,hill.one.sd,hill.two.avg,hill.two.sd,shannon.avg,shannon.sd
10483,0.0020621318518813,0.00102148211635887,0.00273662454013673,0.000779034807298594,0.00243441446020949,0.000526013972536948,10,0,6.68895534766599,1.01450688638461,5.7459198001056,0.994945914378833,1.88822606933231,0.159486217689479
13028,0.0056965624866971,0.00234464864359892,0.00724526920012827,0.00221003256904726,0.00653631777262824,0.00245343293107353,10,0,6.9731875967366,1.04738346246244,5.85600430397673,1.20869141041346,1.93027334289603,0.155913158185017
14100,0.00355651166094605,0.00350060501516473,0.00775114719306211,0.00339940663906127,0.0102002514678417,0.00378585597073167,10,0,4.69129922709448,1.10795961572376,3.86946256392577,1.08029382200393,1.51558161069208,0.252766491841262
14817,0.00136858969149484,0.00119188457788041,0.00399747470271922,0.0027635896630472,0.00710416409445301,0.00551415332147704,10,0,4.1078485194803,1.44307864604822,3.34009452027071,1.42318171854798,1.34843180294139,0.366668545901904
15597,0.00146283756511671,0.0020022027671459,0.00377639148831847,0.00177122830708224,0.00525253691643502,0.00157471424967916,10,0,4.03001964672883,1.19825719790548,3.44549362363502,1.17463891688281,1.3452664185949,0.323053656391531
16301,0.00867092099233667,0.00817570982254077,0.0152400013491868,0.00577193794905905,0.0179196998040653,0.00431124033735045,10,0,4.940656067979,1.2237687895568,4.28714911295451,1.21282688324793,1.56428018124384,0.265720550902039
16660,0.00309380345574139,0.00204514096833037,0.00553267844828271,0.00231641762641064,0.00673971185163176,0.00246047945567094,10,0,5.27777095881103,1.15578543286956,4.29324155450137,1.12808062953541,1.63744423476108,0.235108436941374
16661,0.00340971244337608,0.00266721229592194,0.00810361849703663,0.00454479303893975,0.0118003576126747,0.00661121687470271,10,0,4.68501775337672,1.23689777655965,3.71784771266886,1.2086820575698,1.50752953389997,0.277556780781855
24392,0.00349596566155642,0.00237290936088881,0.00548048616726181,0.00174335335376625,0.00553517512342145,0.00127705499121712,10,0,6.26434974471152,0.885051998144432,5.11188484737196,0.98770971880045,1.82464644065514,0.144338262087922
28535,0.00375798482307354,0.0021414413925513,0.00550215205794185,0.00195117593075605,0.00602473793674122,0.00207094290255859,10,0,5.6400150890067,1.1742071402945,4.81172393562138,1.16350018329957,1.70619436675665,0.224565923333114
42246,0.0024788474444735,0.00155911067741773,0.00470769540577903,0.00201460507025542,0.00608840433480003,0.00242738690225191,10,0,4.94042926359345,1.20488829564353,4.06199650029655,1.15677725268108,1.56509174979883,0.262656814076952
5560,0.000580633599330546,0.00102562303134186,0.00255181972027802,0.00144674967614257,0.00422705008652465,0.0018290351183846,10,0,,,,,,
