"","cells","median.pi.avg","median.pi.sd","mean.pi.avg","mean.pi.sd","hill.zero.avg","hill.zero.sd","hill.one.avg","hill.one.sd","hill.two.avg","hill.two.sd","shannon.avg","shannon.sd"
"1",233,0.000529444869294977,0.000451679284215481,0.00218446381851924,0.00123472383722684,10,0,3.32303434938581,1.06152206878857,2.70185078186852,1.03893501603731,1.14794451856577,0.331307180687566
"2",410,0.00355719316437983,0.00151750139310779,0.00455258584848749,0.000973728914329225,10,0,6.95680130580026,0.732108572122733,5.91371199530606,0.830300887833912,1.9340894611037,0.106769181380617
"3",411,0.00195908805545555,0.00102917273211913,0.0062426393773345,0.00411149767931788,10,0,4.35613025451512,1.39757154766021,3.31163840818594,1.28572579340275,1.41249456928718,0.358876546526083
"4",450,0.000894218076794056,0.00145536871350405,0.00697332357188171,0.00351732535363698,10,0,3.01537640534437,0.877422309104249,2.52595701515522,0.825083938987038,1.05857619163837,0.308700889998219
"5",467,0.00407947432854748,0.00185763856279465,0.00541567998224961,0.00148157067131719,10,0,6.42343842054434,0.98376199425657,5.498231174587,1.00992456276533,1.84770803358048,0.158873635023212
"6",506,0.00100132872702823,0.000108388550909118,0.00651125338535453,0.00121274938280492,10,0,2.88750289726629,0.281696777929091,2.16214355503452,0.201878079927825,1.05510700290136,0.105736316318601
"7",507,0.00552334254749266,0.00122442275929468,0.0150293555306248,0.00211421952041695,10,0,4.55489263045818,0.328436879005894,3.33109774129621,0.285785439651876,1.51356624701054,0.0729228500348729
"8",519,0.00456282694748286,0.000833418284880995,0.00527082983910244,0.00105779438369424,10,0,6.7246303844942,0.782285187549798,5.81823083070513,0.786686173567406,1.8989602052356,0.117247398969626
"9",520,0.00223889729158009,0.000856512128401507,0.00416228894685209,0.00145370912951048,10,0,5.67337454853937,0.982883277964715,4.39612098690094,1.04820634296368,1.72047435533022,0.176566391863399
"10",521,0.00500068745576101,0.0017095588888076,0.00671920899877638,0.0021653319629687,10,0,7.04926100715094,1.19798079139577,5.85016020347365,1.47199791124415,1.93602112304558,0.192055281793623
"11",522,0.00495879449364041,0.00188491403417881,0.00634264840881104,0.00163717084265166,10,0,6.41092822515193,0.96346185915705,5.47699567398765,1.03144624881768,1.84625220417151,0.155412793597356
"12",523,0.00453184720467853,0.00068899856266772,0.00446946773342306,0.00048093192196331,10,0,8.33929767328852,0.474817403885887,7.58441644055991,0.591756249330561,2.11937393463297,0.056571917864048
"13",527,0.00150229281084352,0.000800282509975637,0.00257730461395776,0.000658610087532466,10,0,4.99425921763376,0.877518340941559,4.36886492354903,0.800538949053538,1.59186636417492,0.184944463251258
"14",576,0.00596798761649369,0.00191574209979734,0.00778937267278055,0.00214053770308175,10,0,6.79216281048394,0.970993217796566,5.60317547001457,1.14960021884526,1.90508358184982,0.148371725594041
"15",577,0.00589911700360938,0.00184760952506696,0.00775692178229715,0.00235029911072464,10,0,7.15307320357623,1.0466126636942,5.94740770751784,1.3128267351857,1.95609019828597,0.154451481531991
"16",578,0.00470168074295605,0.0011636890595291,0.00587647010317618,0.00158810477147019,10,0,6.99270003605759,0.990274433091889,5.85563696223012,1.22085235805673,1.93442854830747,0.146375935812398
"17",579,0.00521406038442447,0.00133589663596365,0.00632753839723251,0.00162528840027787,10,0,7.13244884952944,0.96791084201106,6.0429513063529,1.21117333040753,1.9551401006621,0.139462690867453
"18",580,0.00456872298639439,0.00139894630579365,0.00684828074017136,0.00242735768225653,10,0,6.20535807380194,1.22439338155857,4.97838222217577,1.51150081703448,1.8052924169583,0.20293347063274
"19",582,0.00115828049843569,0.000683833602653618,0.00422886234095186,0.00199102767276006,10,0,3.61203258473416,0.975019323963138,2.78168317519194,0.940588397390965,1.24893772460008,0.265900731002854
"20",583,0.00264510512265358,0.00168674764093884,0.00677471209690681,0.00382187018609586,10,0,4.78511503313697,1.34752153704588,3.66940533361088,1.32010295106924,1.52455595166015,0.290888019875434
"21",614,0.00202515482099095,0.00089322377095357,0.014362694443043,0.00445026147099879,10,0,3.14795954020475,0.536346227767664,2.47347623481072,0.493898839660747,1.13133247072261,0.179073988510509
"22",631,0.00563271405471354,0.00160682778855119,0.0148554562038516,0.00718350833918458,10,0,4.55683704836309,1.69180383843015,3.35102458352267,1.63976809871842,1.44656281857778,0.376422913645448
"23",632,0.0061965720011644,0.00116066672853093,0.0061505065804158,0.00094156021317127,10,0,7.56471085460227,0.629571138156926,6.74984680414605,0.721641835796774,2.02000689597262,0.0837702079779623
"24",634,0.00359379940927518,0.000998031446631453,0.00560386323968968,0.00079852441824477,10,0,7.3747136564098,0.351685842830202,6.01453148191872,0.469173727566617,1.99692239286098,0.0476625694102659
"25",669,0.0011493281685682,0.000347666657640905,0.00430862552587811,0.00159743021096852,10,0,3.84714414233966,0.813221631165059,2.84459149310646,0.723107520801879,1.32473086701224,0.214593664290226
"26",686,0.00456831662039135,0.00216485521539257,0.00707934677797417,0.00230116478696052,10,0,5.97520325641055,0.941357758553838,4.77134962188734,1.04515080002893,1.774481810978,0.165015198361014
"27",689,0.00755309199777037,0.00167818760587346,0.0204595686876107,0.00726391239287214,10,0,4.95989609135744,1.19894372237164,3.5142226515718,1.28255688731872,1.57710230633646,0.211402752636707
"28",725,0.00158818268952643,0.000646195634522266,0.00192282619424699,0.000501970217551629,10,0,6.47850906339785,1.03984978037139,5.66040296179288,1.03949681926786,1.85487990084603,0.168038495579681
"29",742,0.00491969054144986,0.00176397697479385,0.00771480070927072,0.00266017485622316,10,0,6.41195440431876,1.23939020794209,4.93459158840374,1.51700611731267,1.83924685687331,0.195738990421869
"30",744,0.00579422870913865,0.00236508792319673,0.0133212400323538,0.00528823695307858,10,0,4.77689656927152,0.997856267289005,3.6304068600175,0.973966996027684,1.54165363371585,0.212621589230124
"31",776,0.00153604165504018,0.000234845886778733,0.00223247716035804,0.000335859502111741,10,0,5.68246345377707,0.453145916706632,4.44282783194576,0.435462053047264,1.73425052513905,0.0789811492272854
"32",777,0.00428505481916652,0.00106371562060486,0.0056198018815057,0.0010657865711232,10,0,6.03390462888769,0.685062803064362,5.10516145497934,0.654002530951291,1.79094441171333,0.113821965690808
"33",832,0.00213809057699731,0.00128216557605295,0.00459900887817316,0.00239463383078677,10,0,4.91700005412452,1.25333274273166,3.91389438997885,1.26821487806686,1.55751611238509,0.272774280818548
"34",833,0.00228556901766003,0.001170672913269,0.00572100081710931,0.00370149518226349,10,0,4.90829410070983,1.6439170415231,3.86346793849371,1.68526925492277,1.53135233396935,0.353006560085894
"35",834,0.00517870437808024,0.00200167222795968,0.0087889540002873,0.00461698200037477,10,0,6.17446446314033,1.53115502856192,4.947033931141,1.70514688826151,1.78526898288474,0.275959178947336
"36",917,0.00288991955715271,0.0023809742095619,0.0121501503079878,0.00603771385440435,10,0,3.90789493315865,1.06864220295015,2.99198345791777,0.995673120745107,1.32704528879093,0.268279983845064
"37",942,0.000786087165674389,0,0.00160045051902841,0,10,0,4.50090108965287,0,3.73090693506581,0,1.50427761887557,0
"38",972,0.00184555108477306,0.000975260009055719,0.00731188908446961,0.00371333256839349,10,0,3.30442660980783,0.95850238426826,2.53659996006748,0.969333082075789,1.15599968269175,0.278647010881289
"39",976,0.00089240644470475,0.000839818457384258,0.019255172335958,0.0141793354882654,10,0,2.26679817911231,0.862231039010348,1.78934496626833,0.67993803454695,0.751155575630231,0.362846464839748
"40",996,0.00237409007903758,0.00209692184563911,0.00754581380590177,0.00423554256448961,10,0,4.19808629360967,1.20576736088879,3.26799945620457,1.14833447413026,1.39227690168462,0.295987327999596
"41",1024,0.00101970031685027,0.000265430688484869,0.00176038506049949,0.000606064741281283,10,0,5.3914427075837,1.15449854128144,4.23394035041763,1.28194559331872,1.6611770951251,0.220264861882232
"42",1043,0.000948027906255767,0.000369470393396396,0.00134493402759264,0.000315743723909554,10,0,5.4283454253667,0.852118381171903,4.72680353975133,0.799704142353655,1.67897900491109,0.160701386241334
"43",1051,0.00361913452144515,0.00376877441627235,0.0112813250790112,0.00488282150075378,10,0,4.07861400574191,0.961578226446487,3.33584591971105,0.903535657836304,1.37577182411317,0.251801315737588
"44",1052,0.00273070349617368,0.00169490685215682,0.00900052026613289,0.00459799336414288,10,0,4.15879080810482,1.1117343336498,3.17018676407988,1.03245049411882,1.38921250196636,0.271330394798213
