Sample.Name,treFile,Genus,Species,ClemName,Subspecies,Split,Lumped,Ingroup,Country,State,Locality,Lat,Long,Notes,clem_group0.9,clem_group0.8,clem_group0.7,lumped_group0.9,lumped_group0.8,lumped_group0.7
Aglaiocercus_coelestis_EF028291,Adelomyia-melanogenys.tre,Aglaiocercus,coelestis,Aglaiocercus coelestis,NA,NA,NA,drop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aglaiocercus_kingi_JF905441,Adelomyia-melanogenys.tre,Aglaiocercus,kingi,Aglaiocercus kingii,NA,NA,NA,drop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelomyia_melanogenys_EF028292,Adelomyia-melanogenys.tre,Adelomyia,melanogenys,Adelomyia melanogenys,unassigned,Adelomyia-melanogenys,Adelomyia-melanogenys,y,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
Adelomyia_melanogenys_EF028293,Adelomyia-melanogenys.tre,Adelomyia,melanogenys,Adelomyia melanogenys,unassigned,Adelomyia-melanogenys,Adelomyia-melanogenys,y,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
Adelomyia_melanogenys_EF028294,Adelomyia-melanogenys.tre,Adelomyia,melanogenys,Adelomyia melanogenys,unassigned,Adelomyia-melanogenys,Adelomyia-melanogenys,y,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
Adelomyia_melanogenys_EF028295,Adelomyia-melanogenys.tre,Adelomyia,melanogenys,Adelomyia melanogenys,unassigned,Adelomyia-melanogenys,Adelomyia-melanogenys,y,NA,NA,NA,NA,NA,NA,1,2,2,1,2,2
Adelomyia_melanogenys_EF028296,Adelomyia-melanogenys.tre,Adelomyia,melanogenys,Adelomyia melanogenys,unassigned,Adelomyia-melanogenys,Adelomyia-melanogenys,y,NA,NA,NA,NA,NA,NA,1,2,2,1,2,2
Adelomyia_melanogenys_EF028297,Adelomyia-melanogenys.tre,Adelomyia,melanogenys,Adelomyia melanogenys,unassigned,Adelomyia-melanogenys,Adelomyia-melanogenys,y,NA,NA,NA,NA,NA,NA,1,2,2,1,2,2
Adelomyia_melanogenys_EF028298,Adelomyia-melanogenys.tre,Adelomyia,melanogenys,Adelomyia melanogenys,unassigned,Adelomyia-melanogenys,Adelomyia-melanogenys,y,NA,NA,NA,NA,NA,NA,1,2,2,1,2,2
Adelomyia_melanogenys_EF028299,Adelomyia-melanogenys.tre,Adelomyia,melanogenys,Adelomyia melanogenys,unassigned,Adelomyia-melanogenys,Adelomyia-melanogenys,y,NA,NA,NA,NA,NA,NA,1,2,2,1,2,2
Adelomyia_melanogenys_EF028300,Adelomyia-melanogenys.tre,Adelomyia,melanogenys,Adelomyia melanogenys,unassigned,Adelomyia-melanogenys,Adelomyia-melanogenys,y,NA,NA,NA,NA,NA,NA,1,2,2,1,2,2
