"","accession","genus","species","seqlength","latitude","longitude","genetype","dnasource","taxa","vertebrate"
"1","JQ842071","Elacatinus","sp. BOLD:AAC5098","564",12.1331,-68.9848,"genomic DNA","mitochondrion",NA,"Vertebrata"
"2","JQ842075","Elacatinus","sp. BOLD:AAC5098","655",12.2261,-69.0917,"genomic DNA","mitochondrion",NA,"Vertebrata"
"3","JQ842079","Elacatinus","sp. BOLD:AAC5098","655",12.1325,-68.985,"genomic DNA","mitochondrion",NA,"Vertebrata"
"4","JQ842076","Elacatinus","sp. BOLD:AAC5098","655",12.2261,-69.0917,"genomic DNA","mitochondrion",NA,"Vertebrata"
"5","JQ842122","Fundulidae","sp. BOLD:AAF8738","655",12.1375,-68.9724,"genomic DNA","mitochondrion",NA,"Vertebrata"
"6","JQ842792","Atherinella","sp. BOLD:AAN5135","619",11.1466,-60.783,"genomic DNA","mitochondrion",NA,"Vertebrata"
"7","JQ842793","Atherinella","sp. BOLD:AAN5135","626",11.1466,-60.783,"genomic DNA","mitochondrion",NA,"Vertebrata"
"8","JQ842791","Atherinella","sp. BOLD:AAN5135","625",11.1466,-60.783,"genomic DNA","mitochondrion",NA,"Vertebrata"
"9","JQ841986","Acanthemblemaria","sp. BOLD:AAB1276","655",12.1331,-68.9848,"genomic DNA","mitochondrion",NA,"Vertebrata"
"10","JQ841983","Acanthemblemaria","sp. BOLD:AAB1276","655",12.2261,-69.0917,"genomic DNA","mitochondrion",NA,"Vertebrata"
"11","JQ841982","Acanthemblemaria","sp. BOLD:AAB1276","655",12.2261,-69.0917,"genomic DNA","mitochondrion",NA,"Vertebrata"
"12","JQ841988","Acanthemblemaria","sp. BOLD:AAB1276","655",12.2261,-69.0917,"genomic DNA","mitochondrion",NA,"Vertebrata"
"13","JQ841990","Acanthemblemaria","sp. BOLD:AAB1276","620",12.1331,-68.9848,"genomic DNA","mitochondrion",NA,"Vertebrata"
"14","JQ841989","Acanthemblemaria","sp. BOLD:AAB1276","655",12.1325,-68.985,"genomic DNA","mitochondrion",NA,"Vertebrata"
"15","JQ841987","Acanthemblemaria","sp. BOLD:AAB1276","652",12.1325,-68.985,"genomic DNA","mitochondrion",NA,"Vertebrata"
"16","JQ841985","Acanthemblemaria","sp. BOLD:AAB1276","607",12.1325,-68.985,"genomic DNA","mitochondrion",NA,"Vertebrata"
"17","JQ841993","Acanthemblemaria","sp. BOLD:AAB1276","622",12.1331,-68.9848,"genomic DNA","mitochondrion",NA,"Vertebrata"
"18","JQ842779","Acyrtus","sp. BOLD:AAD2051","655",11.2267,-60.7639,"genomic DNA","mitochondrion",NA,"Vertebrata"
"19","JQ841999","Albula","sp. BOLD:AAA3090","592",12.1375,-68.9724,"genomic DNA","mitochondrion",NA,"Vertebrata"
"20","JQ842340","Tetraodontidae","sp. BOLD:AAB9603","655",12.1488,-68.9995,"genomic DNA","mitochondrion",NA,"Vertebrata"
"21","JQ842072","Elacatinus","sp. BOLD:AAE0159","559",12.1331,-68.9848,"genomic DNA","mitochondrion",NA,"Vertebrata"
"22","JQ842073","Elacatinus","sp. BOLD:AAE0159","571",12.1331,-68.9848,"genomic DNA","mitochondrion",NA,"Vertebrata"
"23","JQ842074","Elacatinus","sp. BOLD:AAE0159","556",12.1331,-68.9848,"genomic DNA","mitochondrion",NA,"Vertebrata"
"24","JQ842070","Elacatinus","sp. BOLD:AAE0159","655",12.1331,-68.9848,"genomic DNA","mitochondrion",NA,"Vertebrata"
"25","JQ842069","Elacatinus","sp. BOLD:AAE0159","655",12.1331,-68.9848,"genomic DNA","mitochondrion",NA,"Vertebrata"
"26","JQ842080","Elacatinus","sp. BOLD:AAF6345","652",12.1325,-68.985,"genomic DNA","mitochondrion",NA,"Vertebrata"
"27","JQ842098","Enneanectes","sp. BOLD:AAC5940","655",12.1331,-68.9848,"genomic DNA","mitochondrion",NA,"Vertebrata"
"28","JQ842096","Enneanectes","sp. BOLD:AAC5940","655",12.1331,-68.9848,"genomic DNA","mitochondrion",NA,"Vertebrata"
"29","JQ842097","Enneanectes","sp. BOLD:AAC5940","655",12.1331,-68.9848,"genomic DNA","mitochondrion",NA,"Vertebrata"
"30","JQ842103","Enneanectes","sp. BOLD:AAC5941","645",12.2261,-69.0917,"genomic DNA","mitochondrion",NA,"Vertebrata"
"31","JQ842104","Enneanectes","sp. BOLD:AAC5941","647",12.2261,-69.0917,"genomic DNA","mitochondrion",NA,"Vertebrata"
"32","JQ842102","Enneanectes","sp. BOLD:AAB9881","655",12.2261,-69.0917,"genomic DNA","mitochondrion",NA,"Vertebrata"
"33","JQ843083","Synodus","sp. BOLD:AAC3714","643",11.1558,-60.8423,"genomic DNA","mitochondrion",NA,"Vertebrata"
"34","JQ843084","Synodus","sp. BOLD:AAC3714","600",11.1558,-60.8423,"genomic DNA","mitochondrion",NA,"Vertebrata"
"35","JQ841991","Acanthemblemaria","sp. BOLD:AAB1276","655",12.1488,-68.9995,"genomic DNA","mitochondrion",NA,"Vertebrata"
"36","JQ841984","Acanthemblemaria","sp. BOLD:AAB1276","618",12.2671,-69.1283,"genomic DNA","mitochondrion",NA,"Vertebrata"
"37","JQ841992","Acanthemblemaria","sp. BOLD:AAB1276","629",12.1488,-68.9995,"genomic DNA","mitochondrion",NA,"Vertebrata"
"38","JQ842008","Atherinella","sp. BOLD:AAI4787","651",12.1375,-68.9724,"genomic DNA","mitochondrion",NA,"Vertebrata"
"39","JQ842010","Atherinella","sp. BOLD:AAI4787","655",12.1375,-68.9724,"genomic DNA","mitochondrion",NA,"Vertebrata"
"40","JQ842009","Atherinella","sp. BOLD:AAI4787","611",12.1375,-68.9724,"genomic DNA","mitochondrion",NA,"Vertebrata"
"41","JQ842022","Bothus","sp. BOLD:AAC1841","655",12.1488,-68.9995,"genomic DNA","mitochondrion",NA,"Vertebrata"
"42","JQ842799","Callechelys","sp. BOLD:AAN4909","637",11.1554,-60.8386,"genomic DNA","mitochondrion",NA,"Vertebrata"
"43","JQ842078","Elacatinus","sp. BOLD:AAI6220","655",12.2261,-69.0917,"genomic DNA","mitochondrion",NA,"Vertebrata"
"44","JQ842077","Elacatinus","sp. BOLD:AAC1048","587",12.1325,-68.985,"genomic DNA","mitochondrion",NA,"Vertebrata"
"45","JQ842085","Emblemariopsis","sp. BOLD:AAF8918","624",12.2671,-69.1283,"genomic DNA","mitochondrion",NA,"Vertebrata"
"46","JQ842100","Enneanectes","sp. BOLD:AAB3091","655",12.1325,-68.985,"genomic DNA","mitochondrion",NA,"Vertebrata"
"47","JQ842105","Enneanectes","sp. BOLD:AAC5941","653",12.1488,-68.9995,"genomic DNA","mitochondrion",NA,"Vertebrata"
"48","JQ842101","Enneanectes","sp. BOLD:AAC5941","647",12.1325,-68.985,"genomic DNA","mitochondrion",NA,"Vertebrata"
"49","JQ842094","Enneanectes","sp. BOLD:AAC5941","598",12.1325,-68.985,"genomic DNA","mitochondrion",NA,"Vertebrata"
"50","JQ842093","Enneanectes","sp. BOLD:AAB3091","643",12.1488,-68.9995,"genomic DNA","mitochondrion",NA,"Vertebrata"
"51","JQ842106","Enneanectes","sp. BOLD:AAC5941","603",12.1325,-68.985,"genomic DNA","mitochondrion",NA,"Vertebrata"
"52","JQ842095","Enneanectes","sp. BOLD:AAC5941","616",12.1325,-68.985,"genomic DNA","mitochondrion",NA,"Vertebrata"
"53","JQ842099","Enneanectes","sp. BOLD:AAC5941","655",12.1325,-68.985,"genomic DNA","mitochondrion",NA,"Vertebrata"
"54","JQ842084","Emblemariopsis","sp. BOLD:AAF8918","655",12.1331,-68.9848,"genomic DNA","mitochondrion",NA,"Vertebrata"
"55","JQ842846","Enneanectes","sp. BOLD:AAB3091","609",11.1554,-60.8386,"genomic DNA","mitochondrion",NA,"Vertebrata"
"56","JQ842845","Enneanectes","sp. BOLD:AAN4956","591",11.1964,-60.7961,"genomic DNA","mitochondrion",NA,"Vertebrata"
"57","JQ842118","Eucinostomus","sp. BOLD:AAA4224","647",12.1375,-68.9724,"genomic DNA","mitochondrion",NA,"Vertebrata"
"58","JQ842112","Epinephelus","sp. BOLD:AAB4707","537",12.1488,-68.9995,"genomic DNA","mitochondrion",NA,"Vertebrata"
"59","JQ842120","Eucinostomus","sp. BOLD:AAA4224","644",12.1375,-68.9724,"genomic DNA","mitochondrion",NA,"Vertebrata"
